,city_name,city_lon,city_lat,state,region,city_area,park_area,golf_area,park_num,golf_num,private_golf_area,public_golf_area,private_golf_num,public_golf_num,park_fraction,golf_fraction,private_golf_fraction,public_golf_fraction,greenspace_area,Population,golf_per_capita,golf_vs_greenspace
24,"Milwaukee, WI",-88.1004916,43.0556541,55,2,1413155529,96955242.2925672,18043536.394405715,746,40,6348496.466838288,10326328.597619217,9,25,0.0686090386393465,0.0127682594195233,0.0044924258770941,0.0073072838662892,114998778.68697292,1205325,14.969851612142547,0.1569019827899241
25,"Minneapolis--St. Paul, MN--WI",-93.2797996,44.9781562,27,2,2644821949,229025389.2169921,35534674.01441387,1570,75,12717043.875222966,20293350.94707129,20,41,0.0865938780126904,0.0134355637920539,0.0048082797709808,0.0076728609102567,264560063.23140597,2435163,14.592318466736671,0.13431609283874538
26,"Nashville-Davidson, TN",-86.6814917,36.1286624,47,3,1460094518,32024399.265751798,13290107.918464068,176,23,5225055.175887913,7266934.938439213,7,11,0.0219331001321873,0.0091022243797398,0.0035785732440424,0.0049770304927884,45314507.184215866,779017,17.060099995846134,0.29328594183836415
27,"New Orleans, LA",-90.1414405,29.9568739,22,3,651426029,14550411.897131568,8323184.355968018,116,18,3154570.4584699385,2848172.685428395,6,5,0.0223362457890542,0.012776867956512,0.0048425612702527,0.0043722119759331,22873596.253099587,788618,10.55413946418674,0.36387738350676485
28,"New York--Newark, NY--NJ--CT",-73.9666632,40.7169979,36,1,8934258253,465856940.7954735,133792110.7113586,3629,298,52769675.60622276,37326099.152110025,99,70,0.0521427663722441,0.0149751783441488,0.0059064417114317,0.0041778621229777,599649051.5068321,17591705,7.60540895333105,0.22311735568522656
29,"Oklahoma City, OK",-97.524305,35.5048258,40,3,1063975877,25400205.36894396,12484533.282931726,281,20,3701625.166032357,7768191.940766325,5,10,0.0238729147135954,0.0117338499422874,0.0034790498977002,0.0073010978055908,37884738.65187569,779867,16.008541562768684,0.32953990781492726
30,"Orlando, FL",-81.4112114,28.5844282,12,3,1545589577,32494114.021104004,23430504.531683184,369,52,4559963.878123009,15478685.923451465,6,21,0.0210237662731753,0.0151595901527506,0.0029503070840927,0.0100147452815356,55924618.552787185,1330702,17.607627050747038,0.41896583540515625
31,"Philadelphia, PA--NJ--DE--MD",-75.2983558,39.9732771,42,1,5132052602,173879977.8372534,58071492.80116437,1739,131,28890867.66187674,16195346.498295164,49,34,0.0338811760755318,0.0113154515950466,0.0056294956233725,0.0031557249611946,231951470.63841775,4836498,12.006929973126086,0.2503605286111347
32,"Phoenix--Mesa, AZ",-111.9700406,33.4940669,4,4,2969854451,117457803.80334516,81219374.12451684,1189,174,28457599.08114849,42474146.05195136,50,77,0.0395500202926763,0.0273479308378795,0.009582152779092,0.0143017601544916,198677177.927862,3680691,22.06633866426626,0.40880072372483023
33,"Pittsburgh, PA",-79.9510047,40.4569607,42,1,2344819054,67637025.92625192,20056740.50656556,476,49,10452447.975661216,6306137.559654433,18,11,0.0288453071936918,0.0085536410463532,0.0044576778569887,0.002689391980544,87693766.43281747,1373022,14.607734258129556,0.22871341171018245
